,medalist_name,medal,country_medal,date_of_birth,place_of_birth,lat,lon,sex_or_gender,event_name,event_part_of_sport
0,Kim Woo-jin,gold,South Korea,1992-06-20,Okcheon County,36.30083333,127.5686111,male,Archery Men's individual,archery
1,Brady Ellison,silver,United States of America,1988-10-27,Glendale,33.58333333,-112.2,male,Archery Men's individual,archery
2,Lee Woo-seok,bronze,South Korea,1997-08-07,Incheon,37.46388889,126.6486111,male,Archery Men's individual,archery
3,Kim Je-deok,gold,South Korea,2004-04-12,North Gyeongsang,36.25,128.75,male,Archery Men's team,archery
4,Kim Woo-jin,gold,South Korea,1992-06-20,Okcheon County,36.30083333,127.5686111,male,Archery Men's team,archery
5,Lee Woo-seok,gold,South Korea,1997-08-07,Incheon,37.46388889,126.6486111,male,Archery Men's team,archery
6,Baptiste Addis,silver,France,2006-12-07,Orléans,47.90222222,1.904166667,male,Archery Men's team,archery
7,Thomas Chirault,silver,France,1997-09-15,Moreuil,49.77444444,2.483055556,male,Archery Men's team,archery
8,Jean-Charles Valladont,silver,France,1989-03-20,Besançon,47.24222222,6.021388889,male,Archery Men's team,archery
9,Mete Gazoz,bronze,Turkey,1999-06-08,Istanbul,41.01,28.96027778,male,Archery Men's team,archery
10,Abdullah Yıldırmış,bronze,Turkey,,Istanbul,41.01,28.96027778,male,Archery Men's team,archery
11,Lim Si-hyeon,gold,South Korea,2003-06-13,Gangneung,37.75555556,128.8961111,female,Archery Women's individual,archery
12,Nam Su-hyeon,silver,South Korea,2005-01-27,Suncheon,34.95055556,127.4875,female,Archery Women's individual,archery
13,Lisa Barbelin,bronze,France,2000-04-10,Ley,48.73555556,6.656666667,female,Archery Women's individual,archery
14,Jeon Hun-young,gold,South Korea,1994-05-29,Incheon,37.46388889,126.6486111,female,archery women's team,archery
15,Lim Si-hyeon,gold,South Korea,2003-06-13,Gangneung,37.75555556,128.8961111,female,archery women's team,archery
16,Nam Su-hyeon,gold,South Korea,2005-01-27,Suncheon,34.95055556,127.4875,female,archery women's team,archery
17,An Qixuan,silver,People's Republic of China,2000-12-03,Changji,44.02216,87.29606,female,archery women's team,archery
18,Li Jiaman,silver,People's Republic of China,1997-08-18,Beijing,39.90403,116.407526,female,archery women's team,archery
19,Yang Xiaolei,silver,People's Republic of China,2000-06-28,Changzhou,31.81216667,119.9691667,female,archery women's team,archery
20,Ángela Ruiz,bronze,Mexico,2006-07-28,Saltillo,25.42305556,-100.9919444,female,archery women's team,archery
21,Alejandra Valencia,bronze,Mexico,1994-10-17,Hermosillo,29.075,-110.9583333,female,archery women's team,archery
22,Ana Paula Vázquez,bronze,Mexico,2000-10-05,Ramos Arizpe,25.54361111,-100.9502778,female,archery women's team,archery
23,Kim Woo-jin,gold,South Korea,1992-06-20,Okcheon County,36.30083333,127.5686111,male,Archery Mixed team,archery
24,Lim Si-hyeon,gold,South Korea,2003-06-13,Gangneung,37.75555556,128.8961111,female,Archery Mixed team,archery
25,Florian Unruh,silver,Germany,1993-06-07,Rendsburg,54.30444444,9.664444444,male,Archery Mixed team,archery
26,Michelle Kroppen,silver,Germany,1996-04-19,Kevelaer,51.58333333,6.25,female,Archery Mixed team,archery
27,Brady Ellison,bronze,United States of America,1988-10-27,Glendale,33.58333333,-112.2,male,Archery Mixed team,archery
28,Casey Kaufhold,bronze,United States of America,2004-03-06,Lancaster,40.03972222,-76.30444444,female,Archery Mixed team,archery
29,Wang Qianyi,gold,People's Republic of China,1997-01-16,Shenzhen,22.535,114.054,female,artistic swimming women's duet,synchronized swimming
30,Wang Liuyi,gold,People's Republic of China,1997-01-16,Shenzhen,22.535,114.054,female,artistic swimming women's duet,synchronized swimming
31,Kate Shortman,silver,United Kingdom,2001-11-19,Bristol,51.45361111,-2.5975,female,artistic swimming women's duet,synchronized swimming
32,Isabelle Thorpe,silver,United Kingdom,2001-03-04,Bristol,51.45361111,-2.5975,female,artistic swimming women's duet,synchronized swimming
33,Bregje de Brouwer,bronze,Netherlands,1999-03-09,Goirle,51.5203,5.0671,female,artistic swimming women's duet,synchronized swimming
34,Noortje de Brouwer,bronze,Netherlands,1999-03-09,Goirle,51.5203,5.0671,female,artistic swimming women's duet,synchronized swimming
35,Chang Hao,gold,People's Republic of China,1997-04-28,Beijing,39.90403,116.407526,female,Artistic swimming Team event,synchronized swimming
36,Feng Yu,gold,People's Republic of China,1999-09-30,Beijing,39.90403,116.407526,female,Artistic swimming Team event,synchronized swimming
37,Wang Ciyue,gold,People's Republic of China,1999-11-14,Nanjing,32.06083333,118.7788889,female,Artistic swimming Team event,synchronized swimming
38,Wang Liuyi,gold,People's Republic of China,1997-01-16,Shenzhen,22.535,114.054,female,Artistic swimming Team event,synchronized swimming
39,Wang Qianyi,gold,People's Republic of China,1997-01-16,Shenzhen,22.535,114.054,female,Artistic swimming Team event,synchronized swimming
40,Xiang Binxuan,gold,People's Republic of China,2001-11-16,Unknown,,,female,Artistic swimming Team event,synchronized swimming
41,Xiao Yanning,gold,People's Republic of China,1998-02-23,Dazhou,31.2152,107.49472,female,Artistic swimming Team event,synchronized swimming
42,Zhang Yayi,gold,People's Republic of China,1997-05-06,Unknown,,,female,Artistic swimming Team event,synchronized swimming
43,Anita Alvarez,silver,United States of America,1996-12-02,Amherst,42.97833333,-78.8,female,Artistic swimming Team event,synchronized swimming
44,Jaime Czarkowski,silver,United States of America,2003-12-05,Calgary,51.05,-114.0666667,female,Artistic swimming Team event,synchronized swimming
45,Megumi Field,silver,United States of America,2005-10-15,Wilmington,39.74833333,-75.55138889,female,Artistic swimming Team event,synchronized swimming
46,Keana Hunter,silver,United States of America,2004-03-04,Seattle,47.60621,-122.33207,female,Artistic swimming Team event,synchronized swimming
47,Audrey Kwon,silver,United States of America,2006-12-05,Seoul,37.56,126.99,female,Artistic swimming Team event,synchronized swimming
48,Ruby Remati,silver,United States of America,2002-08-14,Sydney,-33.86777778,151.21,female,Artistic swimming Team event,synchronized swimming
49,Meritxell Ferré Gaset,bronze,Spain,2006-11-10,Manresa,41.72638889,1.829166667,female,Artistic swimming Team event,synchronized swimming
50,Meritxell Mas,bronze,Spain,1994-12-25,Granollers,41.608333,2.288889,female,Artistic swimming Team event,synchronized swimming
51,Alisa Ozhogina,bronze,Spain,2000-10-31,Moscow,55.75583333,37.61777778,female,Artistic swimming Team event,synchronized swimming
52,Paula Ramírez,bronze,Spain,1996-04-23,Barcelona,41.3825,2.176944444,female,Artistic swimming Team event,synchronized swimming
53,Iris Tió,bronze,Spain,2002-11-02,Barcelona,41.3825,2.176944444,female,Artistic swimming Team event,synchronized swimming
54,Blanca Toledano,bronze,Spain,2000-11-03,Madrid,40.41694444,-3.703333333,female,Artistic swimming Team event,synchronized swimming
55,Noah Lyles,gold,United States of America,1997-07-18,Gainesville,29.66527778,-82.33611111,male,athletics men's 100 metres,athletics
56,Kishane Thompson,silver,Jamaica,2001-07-17,Kingston,17.97138889,-76.79305556,male,athletics men's 100 metres,athletics
57,Fred Kerley,bronze,United States of America,1995-05-07,Taylor,30.572371,-97.416546,male,athletics men's 100 metres,athletics
58,Letsile Tebogo,gold,Botswana,2003-06-07,Kanye,-24.98333333,25.35,male,athletics men's 200 metres,athletics
59,Kenny Bednarek,silver,United States of America,1998-10-14,Rice Lake,45.49833333,-91.73888889,male,athletics men's 200 metres,athletics
60,Noah Lyles,bronze,United States of America,1997-07-18,Gainesville,29.66527778,-82.33611111,male,athletics men's 200 metres,athletics
61,Quincy Hall,gold,United States of America,1998-07-31,Kansas City,39.05,-94.58333333,male,athletics men's 400 metres,athletics
62,Matthew Hudson-Smith,silver,United Kingdom,1994-10-26,Wolverhampton,52.58416667,-2.125277778,male,athletics men's 400 metres,athletics
63,Muzala Samukonga,bronze,Zambia,2002-12-09,Lusaka,-15.41666667,28.28333333,male,athletics men's 400 metres,athletics
64,Emmanuel Wanyonyi,gold,Kenya,2004-08-01,Kenya,0.1,38.0,male,athletics men's 800 metres,athletics
65,Marco Arop,silver,Canada,1998-09-20,Khartoum,15.60308,32.52654,male,athletics men's 800 metres,athletics
66,Djamel Sedjati,bronze,Algeria,1999-05-03,Tiaret,35.36666667,1.316666667,male,athletics men's 800 metres,athletics
67,Cole Hocker,gold,United States of America,2001-06-06,Indianapolis,39.76861111,-86.15805556,male,athletics men's 1500 metres,athletics
68,Josh Kerr,silver,United Kingdom,1997-10-08,Edinburgh,55.95333333,-3.189166667,male,athletics men's 1500 metres,athletics
69,Yared Nuguse,bronze,United States of America,1999-06-01,Louisville,38.25611111,-85.75138889,male,athletics men's 1500 metres,athletics
70,Jakob Ingebrigtsen,gold,Norway,2000-09-19,Sandnes Municipality,58.845,5.829444,male,athletics men's 5000 metres,athletics
71,Ronald Kwemoi,silver,Kenya,1995-09-19,Nyeri,-0.416666667,36.95,male,athletics men's 5000 metres,athletics
72,Grant Fisher,bronze,United States of America,1997-04-22,Calgary,51.05,-114.0666667,male,athletics men's 5000 metres,athletics
73,Joshua Cheptegei,gold,Uganda,1996-09-12,Kapchorwa District,1.333333333,34.56666667,male,"athletics men's 10,000 metres",athletics
74,Berihu Aregawi,silver,Ethiopia,2001-02-28,Ethiopia,9.0,40.0,male,"athletics men's 10,000 metres",athletics
75,Grant Fisher,bronze,United States of America,1997-04-22,Calgary,51.05,-114.0666667,male,"athletics men's 10,000 metres",athletics
76,Grant Holloway,gold,United States of America,1997-11-19,Chesapeake,36.767398,-76.287405,male,athletics men's 110 metres hurdles,athletics
77,Daniel Roberts,silver,United States of America,1997-11-13,Hampton,33.3814,-84.2894,male,athletics men's 110 metres hurdles,athletics
78,Rasheed Broadbell,bronze,Jamaica,2000-08-13,Kingston,17.97138889,-76.79305556,male,athletics men's 110 metres hurdles,athletics
79,Rai Benjamin,gold,United States of America,1997-07-27,Mount Vernon,40.91416667,-73.83055556,male,athletics men's 400 metres hurdles,athletics
80,Karsten Warholm,silver,Norway,1996-02-28,Ulsteinvik,62.34305556,5.848611111,male,athletics men's 400 metres hurdles,athletics
81,Alison dos Santos,bronze,Brazil,2000-06-03,São Joaquim da Barra,-20.58083333,-47.855,male,athletics men's 400 metres hurdles,athletics
82,Soufiane El Bakkali,gold,Morocco,1996-01-07,Fez,34.04333333,-5.003333333,male,athletics men's 3000 metres steeplechase,athletics
83,Kenneth Rooks,silver,United States of America,1999-10-21,Portland,45.51666667,-122.6666667,male,athletics men's 3000 metres steeplechase,athletics
84,Abraham Kibiwot,bronze,Kenya,1996-06-04,Uasin Gishu County,0.516667,35.2833,male,athletics men's 3000 metres steeplechase,athletics
85,Aaron Brown,gold,Canada,1992-05-27,Toronto,43.67027778,-79.38666667,male,athletics men's 4 × 100 metres relay,athletics
86,Jerome Blake,gold,Canada,1995-08-18,Buff Bay,18.23333333,-76.65,male,athletics men's 4 × 100 metres relay,athletics
87,Brendon Rodney,gold,Canada,1992-04-09,Etobicoke,43.6161,-79.5125,male,athletics men's 4 × 100 metres relay,athletics
88,Andre De Grasse,gold,Canada,1994-11-10,Scarborough,43.7737,-79.2446,male,athletics men's 4 × 100 metres relay,athletics
89,Bayanda Walaza,silver,South Africa,2006-02-09,Unknown,,,male,athletics men's 4 × 100 metres relay,athletics
90,Shaun Maswanganyi,silver,South Africa,2001-02-01,Soweto,-26.26777778,27.85861111,male,athletics men's 4 × 100 metres relay,athletics
91,Bradley Nkoana,silver,South Africa,2005-01-29,Unknown,,,male,athletics men's 4 × 100 metres relay,athletics
92,Akani Simbine,silver,South Africa,1993-09-21,Kempton Park,-26.1,28.2333,male,athletics men's 4 × 100 metres relay,athletics
93,Jeremiah Azu,bronze,United Kingdom,2001-05-15,Rumney,51.5089,-3.13251,male,athletics men's 4 × 100 metres relay,athletics
94,Louie Hinchliffe,bronze,United Kingdom,2002-07-18,Sheffield,53.38083333,-1.470277778,male,athletics men's 4 × 100 metres relay,athletics
95,Nethaneel Mitchell-Blake,bronze,United Kingdom,1994-04-02,London Borough of Newham,51.51666667,0.033333333,male,athletics men's 4 × 100 metres relay,athletics
96,Zharnel Hughes,bronze,United Kingdom,1995-07-13,Sandy Ground,18.2,-63.08333333,male,athletics men's 4 × 100 metres relay,athletics
97,Richard Kilty,bronze,United Kingdom,1989-09-02,Stockton-on-Tees,54.57,-1.32,male,athletics men's 4 × 100 metres relay,athletics
98,Christopher Bailey,gold,United States of America,2000-05-29,Atlanta,33.75694444,-84.39027778,male,athletics men's 4 × 400 metres relay,athletics
99,Vernon Norwood,gold,United States of America,1992-04-10,New Orleans,29.97611111,-90.07833333,male,athletics men's 4 × 400 metres relay,athletics
100,Bryce Deadmon,gold,United States of America,1997-03-26,Missouri City,29.58278,-95.53917,male,athletics men's 4 × 400 metres relay,athletics
101,Rai Benjamin,gold,United States of America,1997-07-27,Mount Vernon,40.91416667,-73.83055556,male,athletics men's 4 × 400 metres relay,athletics
102,Quincy Wilson,gold,United States of America,2008-01-08,Potomac,39.01805556,-77.20861111,male,athletics men's 4 × 400 metres relay,athletics
103,Bayapo Ndori,silver,Botswana,1999-06-20,Tutume,-20.494301,27.034791,male,athletics men's 4 × 400 metres relay,athletics
104,Busang Kebinatshipi,silver,Botswana,2004-02-13,Hukuntsi,-23.99888889,21.78,male,athletics men's 4 × 400 metres relay,athletics
105,Anthony Pesela,silver,Botswana,2002-01-01,Botswana,-22.2,23.7,male,athletics men's 4 × 400 metres relay,athletics
106,Letsile Tebogo,silver,Botswana,2003-06-07,Kanye,-24.98333333,25.35,male,athletics men's 4 × 400 metres relay,athletics
107,Alex Haydock-Wilson,bronze,United Kingdom,1999-07-28,Eton,51.4881,-0.6092,male,athletics men's 4 × 400 metres relay,athletics
108,Matthew Hudson-Smith,bronze,United Kingdom,1994-10-26,Wolverhampton,52.58416667,-2.125277778,male,athletics men's 4 × 400 metres relay,athletics
109,Lewis Davey,bronze,United Kingdom,2000-10-24,Grantham,52.91805556,-0.638055556,male,athletics men's 4 × 400 metres relay,athletics
110,Charlie Dobson,bronze,United Kingdom,1999-01-01,Colchester,51.888611,0.903611,male,athletics men's 4 × 400 metres relay,athletics
111,Samuel Reardon,bronze,United Kingdom,2003-10-30,Sheffield,53.38083333,-1.470277778,male,athletics men's 4 × 400 metres relay,athletics
112,Toby Harries,bronze,United Kingdom,1998-09-30,Brighton,50.82083333,-0.1375,male,athletics men's 4 × 400 metres relay,athletics
113,Tamirat Tola,gold,Ethiopia,1991-08-11,Sebeta,8.916666667,38.61666667,male,athletics men's marathon,athletics
114,Bashir Abdi,silver,Belgium,1989-02-10,Mogadishu,2.039166667,45.34194444,male,athletics men's marathon,athletics
115,Benson Kipruto,bronze,Kenya,1991-03-17,Unknown,,,male,athletics men's marathon,athletics
