,id,full_name,age,gender,device_type,ad_position,browsing_history,time_of_day,click
0,670,User670,22.0,,Desktop,Top,Shopping,Afternoon,1
1,3044,User3044,,Male,Desktop,Top,,,1
2,5912,User5912,41.0,Non-Binary,,Side,Education,Night,1
3,5418,User5418,34.0,Male,,,Entertainment,Evening,1
4,9452,User9452,39.0,Non-Binary,,,Social Media,Morning,0
5,5942,User5942,,Non-Binary,,Bottom,Social Media,Evening,1
6,7808,User7808,26.0,Female,Desktop,Top,,,1
7,5065,User5065,40.0,Male,Mobile,Side,,Evening,0
8,7993,User7993,,Non-Binary,Mobile,Bottom,Social Media,,1
9,4509,User4509,,,,Bottom,Education,Afternoon,1
10,2595,User2595,,,,Bottom,,Morning,1
11,7466,User7466,47.0,,Mobile,Bottom,,Afternoon,1
12,8171,User8171,,Non-Binary,Mobile,Side,Education,Afternoon,0
13,2023,User2023,19.0,,Desktop,,,,1
14,973,User973,,,Mobile,,,Morning,1
15,7529,User7529,,,,Top,Entertainment,Afternoon,0
16,8127,User8127,,Male,Tablet,Bottom,,,1
17,188,User188,56.0,Female,Tablet,Bottom,News,Morning,1
18,2124,User2124,,Male,Desktop,Top,,Evening,1
19,7335,User7335,24.0,,Tablet,Side,Entertainment,Night,0
20,5569,User5569,,,Mobile,Bottom,,Afternoon,1
21,2272,User2272,52.0,,Tablet,Bottom,News,Morning,1
22,2722,User2722,39.0,,Desktop,Top,,,1
23,316,User316,42.0,,Desktop,Top,,Night,1
24,9789,User9789,36.0,,Tablet,,,,1
25,4890,User4890,43.0,Male,Tablet,Bottom,Education,Afternoon,1
26,4994,User4994,62.0,,Mobile,,,Night,0
27,5055,User5055,45.0,Male,,,Education,Morning,1
28,6724,User6724,37.0,Female,,Top,Entertainment,Evening,1
29,8253,User8253,,Non-Binary,Desktop,Bottom,Entertainment,,1
30,4945,User4945,31.0,,Tablet,Top,,Morning,1
31,1729,User1729,26.0,Female,Mobile,Top,,Afternoon,1
32,6862,User6862,,Male,Tablet,Side,,,1
33,4985,User4985,37.0,Male,Mobile,Top,News,Evening,0
34,7361,User7361,,,Mobile,Top,Entertainment,Afternoon,0
35,1524,User1524,24.0,,Mobile,Bottom,,Night,1
36,2542,User2542,58.0,Non-Binary,Mobile,Side,,Evening,1
37,119,User119,59.0,,Tablet,Top,,,1
38,5881,User5881,26.0,Non-Binary,Tablet,Top,,Morning,1
39,9642,User9642,,Non-Binary,,Bottom,,Evening,1
40,1171,User1171,,,Mobile,,,Night,1
41,1612,User1612,40.0,,Mobile,,News,,1
42,9586,User9586,,,Desktop,,Shopping,Afternoon,0
43,7661,User7661,48.0,,Mobile,Side,News,Night,1
44,4228,User4228,,,Desktop,Side,,Morning,1
45,5574,User5574,52.0,Female,Desktop,Bottom,,Afternoon,1
46,120,User120,,,Desktop,Side,,Night,0
47,6143,User6143,,,,Bottom,,Afternoon,1
48,301,User301,,Male,Tablet,Side,Social Media,,1
49,5301,User5301,,Male,,Side,Social Media,,1
50,5439,User5439,38.0,,,,Social Media,Afternoon,1
51,9806,User9806,58.0,Male,Tablet,Bottom,,,1
52,9888,User9888,49.0,Male,Mobile,Top,News,Morning,1
53,4525,User4525,,,Mobile,Top,Entertainment,,0
54,6153,User6153,30.0,,,Side,Entertainment,Night,1
55,7498,User7498,,Male,,Side,Shopping,Afternoon,1
56,9736,User9736,46.0,,Desktop,,Education,Evening,1
57,2244,User2244,42.0,,Mobile,Top,,Evening,0
58,4952,User4952,41.0,Female,,,,Night,0
59,4855,User4855,,Non-Binary,Desktop,Top,,,0
60,9590,User9590,,Non-Binary,Tablet,,,Morning,0
61,813,User813,,,Tablet,Top,Education,Morning,1
62,4957,User4957,58.0,Male,,Bottom,Social Media,Evening,1
63,9431,User9431,,,Mobile,Top,Entertainment,Afternoon,1
64,6935,User6935,,Male,Mobile,,,Morning,0
65,2431,User2431,54.0,Male,Desktop,Top,,Night,1
66,3164,User3164,,Female,Desktop,,,Evening,1
67,4756,User4756,,Non-Binary,Mobile,Bottom,Education,Evening,1
68,1524,User1524,24.0,,Mobile,Bottom,,Night,1
69,7674,User7674,,,,Bottom,News,Afternoon,1
70,6251,User6251,44.0,Non-Binary,,Side,Shopping,Morning,1
71,6751,User6751,,Female,Tablet,,,Evening,0
72,9996,User9996,48.0,,Desktop,Top,Shopping,Evening,0
73,2973,User2973,27.0,Non-Binary,,Bottom,,Night,1
74,6315,User6315,,,Desktop,Top,,Afternoon,1
75,7065,User7065,57.0,,Desktop,,,Morning,1
76,9412,User9412,,,,Bottom,Social Media,Morning,1
77,3458,User3458,,,Tablet,,,,0
78,6121,User6121,,,Desktop,Top,,Afternoon,0
