,Submission ID,What is your age?,Gender,Where do you typically drink coffee?
0,Zd694B,<18 years old,Other (please specify), At home
1,Zd694B,<18 years old,Other (please specify), At the office
2,Zd694B,<18 years old,Other (please specify), At a cafe
3,QA5JYA,25-34 years old,Female, At home
4,QA5JYA,25-34 years old,Female, At the office
5,QA5JYA,25-34 years old,Female, On the go
6,ylqbBg,45-54 years old,Male, At home
7,ylqbBg,45-54 years old,Male, At the office
8,ylqbBg,45-54 years old,Male, On the go
9,ylqbBg,45-54 years old,Male, At a cafe
10,YZzBdN,25-34 years old,Male, At home
11,YZzBdN,25-34 years old,Male, At the office
12,VZ17Z6,35-44 years old,Male, At home
13,VZ17Z6,35-44 years old,Male, At the office
14,RzBeZj,45-54 years old,Male, At home
15,WApbkQ,35-44 years old,Male, At home
16,WApbkQ,35-44 years old,Male, At a cafe
17,0Ej0WA,45-54 years old,Male, At home
18,9dJYlQ,35-44 years old,Male, At home
19,9dJYlQ,35-44 years old,Male, At the office
20,bl41Zg,45-54 years old,Male, At a cafe
21,WApbYk,35-44 years old,Female, At home
22,WApbYk,35-44 years old,Female, At the office
23,eBxG20,35-44 years old,Male, At home
24,eBxG20,35-44 years old,Male, At the office
25,NAB2qB,25-34 years old,Male, At home
26,RzBqoJ,35-44 years old,Male, At home
27,5dqajd,25-34 years old,Male, At home
28,5dqajd,25-34 years old,Male, At a cafe
29,VZ1W0E,35-44 years old,Male, At home
30,VZ1W0E,35-44 years old,Male, At a cafe
31,NABN5G,45-54 years old,Female, At home
32,6dQY8o,25-34 years old,Male, At home
33,6dQY8o,25-34 years old,Male, At the office
34,6dQY8o,25-34 years old,Male, On the go
35,6dQY8o,25-34 years old,Male, At a cafe
36,WAp6va,45-54 years old,Male, At home
37,OABqQp,35-44 years old,Male, At the office
38,OABqQp,35-44 years old,Male, On the go
39,OABqQp,35-44 years old,Male, At a cafe
40,jB9r21,25-34 years old,Male, At home
41,jB9r21,25-34 years old,Male, At a cafe
42,pLPYLE,25-34 years old,Male, At the office
43,pLPYLE,25-34 years old,Male, On the go
44,g5NPxK,25-34 years old,Male, At home
45,g5NPxK,25-34 years old,Male, At the office
46,bl41kE,25-34 years old,Male, At home
47,bl41kE,25-34 years old,Male, On the go
48,bl41kE,25-34 years old,Male, At a cafe
49,GrBO1z,45-54 years old,Male, At home
50,GrBO1z,45-54 years old,Male, At the office
51,xdN8Q9,25-34 years old,Male, At home
52,xdN8Q9,25-34 years old,Male, On the go
53,xdN8Q9,25-34 years old,Male, At a cafe
54,vNx8Xv,35-44 years old,Female, At home
55,dY2JPN,18-24 years old,Male, At home
56,dY2JPN,18-24 years old,Male, At a cafe
57,MAdjLE,35-44 years old,Male, At home
58,6dQ6xo,25-34 years old,Male, At home
59,6dQ6xo,25-34 years old,Male, At the office
60,7d97lZ,25-34 years old,Female, At home
61,7d97lZ,25-34 years old,Female, At the office
62,0EjqPQ,25-34 years old,Male, At home
63,BGbJD4,25-34 years old,Male, At the office
64,9dJYbp,25-34 years old,Male, At home
65,9dJYbp,25-34 years old,Male, At the office
66,xdNbJ9,25-34 years old,Male, At home
67,xdNbJ9,25-34 years old,Male, At the office
68,xdNbJ9,25-34 years old,Male, On the go
69,xdNbJ9,25-34 years old,Male, At a cafe
70,pLPNQJ,35-44 years old,Female, At home
71,pLPNQJ,35-44 years old,Female, On the go
72,AlbMLW,25-34 years old,Male, At home
73,AlbMLW,25-34 years old,Male, At a cafe
74,EPboPq,25-34 years old,Male, At home
75,ylq8yW,25-34 years old,Male, At home
76,ylq8yW,25-34 years old,Male, At the office
77,ylq8yW,25-34 years old,Male, On the go
78,ylq8yW,25-34 years old,Male, At a cafe
79,J2kEDz,45-54 years old,Male, At home
80,J2kEDz,45-54 years old,Male, At the office
81,24x9Lg,25-34 years old,Male, At home
82,0EjYb6,35-44 years old,Male, At home
83,ZdRb6a,25-34 years old,Male, At home
84,WApbdP,25-34 years old,Male, At home
85,WApbdP,25-34 years old,Male, At the office
86,24xY69,18-24 years old,Male, At home
87,RzBqWd,25-34 years old,Male, At home
88,RzBqLv,25-34 years old,Male, At home
89,RzBqLv,25-34 years old,Male, At the office
90,RzBqLv,25-34 years old,Male, At a cafe
91,oAV8d5,35-44 years old,Male, At home
92,oAV8d5,35-44 years old,Male, At a cafe
93,oAV8OM,25-34 years old,Male, At home
94,AlbYyW,25-34 years old,Male, At the office
95,KMB4kk,25-34 years old,Female, At home
96,KMB4kk,25-34 years old,Female, At the office
97,42N0Kd,18-24 years old,Male, At home
98,42N0Kd,18-24 years old,Male, At the office
99,42N0Kd,18-24 years old,Male, At a cafe
100,0Ej0VZ,25-34 years old,Female, At home
101,rlrQQo,35-44 years old,Female, At home
102,rlrQQo,35-44 years old,Female, On the go
103,rlrQQo,35-44 years old,Female, At a cafe
104,vNx84X,35-44 years old,Male, At home
105,OABxLk,25-34 years old,Male, At home
106,OABxLk,25-34 years old,Male, At a cafe
107,MAd2V0,25-34 years old,Male, At home
108,8dpbGk,25-34 years old,Male, At home
109,8dpbGk,25-34 years old,Male, At a cafe
110,zKQ8ja,25-34 years old,Male, At home
111,zKQ8ja,25-34 years old,Male, At the office
